bee	treatment	group	cage	cage2	alive
bee160	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee161	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee162	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee163	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee164	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee165	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee166	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee167	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee168	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee169	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0
bee170	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0
bee171	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0
bee172	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0
bee173	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0
bee174	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0
