bee	group	cage	cage2	alive	experiment
bee43	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	three
bee44	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	three
bee45	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	three
bee46	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1	three
bee47	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1	three
bee48	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1	three
bee49	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1	three
bee50	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1	three
bee51	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	0	three
bee52	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	0	three
bee53	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	0	three
bee54	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	0	three
bee55	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	0	three
bee56	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	0	three
bee57	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	0	three
bee58	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	0	three
bee59	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	0	three
bee60	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	0	three
bee61	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	three
bee62	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	three
bee63	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	three
bee64	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	three
bee65	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	three
bee66	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	three
bee67	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	three
bee68	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	three
bee69	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	three
bee70	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	three
bee71	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	three
bee72	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	three
bee73	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	three
bee74	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0	three
bee75	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0	three
bee76	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0	three
bee77	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0	three
bee78	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0	three
bee79	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0	three
bee80	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0	three
bee81	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0	three
bee82	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0	three
bee83	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0	three
bee84	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0	three
bee85	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0	three
bee86	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0	three
bee1	control	cage1	control_cage1	1	four
bee2	control	cage1	control_cage1	1	four
bee3	control	cage1	control_cage1	1	four
bee4	control	cage1	control_cage1	1	four
bee5	control	cage1	control_cage1	1	four
bee6	control	cage1	control_cage1	1	four
bee7	control	cage1	control_cage1	1	four
bee8	control	cage1	control_cage1	1	four
bee9	control	cage1	control_cage1	1	four
bee10	control	cage1	control_cage1	1	four
bee11	control	cage1	control_cage1	0	four
bee12	control	cage1	control_cage1	0	four
bee13	control	cage1	control_cage1	0	four
bee14	control	cage1	control_cage1	0	four
bee15	control	cage1	control_cage1	0	four
bee16	control	cage1	control_cage1	0	four
bee17	control	cage2	control_cage2	1	four
bee18	control	cage2	control_cage2	1	four
bee19	control	cage2	control_cage2	1	four
bee20	control	cage2	control_cage2	1	four
bee21	control	cage2	control_cage2	1	four
bee22	control	cage2	control_cage2	1	four
bee23	control	cage2	control_cage2	1	four
bee24	control	cage2	control_cage2	1	four
bee25	control	cage2	control_cage2	1	four
bee26	control	cage2	control_cage2	1	four
bee33	control	cage2	control_cage2	1	four
bee34	control	cage2	control_cage2	1	four
bee35	control	cage2	control_cage2	1	four
bee36	control	cage2	control_cage2	1	four
bee37	control	cage2	control_cage2	0	four
bee38	control	cage2	control_cage2	0	four
bee39	control	cage2	control_cage2	0	four
bee40	control	cage2	control_cage2	0	four
bee51	control	cage2	control_cage2	0	four
bee52	control	cage2	control_cage2	0	four
bee53	control	cage3	control_cage3	1	four
bee54	control	cage3	control_cage3	1	four
bee55	control	cage3	control_cage3	1	four
bee56	control	cage3	control_cage3	1	four
bee57	control	cage3	control_cage3	1	four
bee58	control	cage3	control_cage3	1	four
bee59	control	cage3	control_cage3	1	four
bee60	control	cage3	control_cage3	1	four
bee61	control	cage3	control_cage3	1	four
bee62	control	cage3	control_cage3	1	four
bee63	control	cage3	control_cage3	1	four
bee64	control	cage3	control_cage3	1	four
bee65	control	cage3	control_cage3	1	four
bee66	control	cage3	control_cage3	0	four
bee67	control	cage3	control_cage3	0	four
bee68	control	cage3	control_cage3	0	four
bee65	control	cage3	control_cage3	0	four
bee66	control	cage3	control_cage3	0	four
bee72	control	cage3	control_cage3	0	four
bee73	control	cage3	control_cage3	0	four
bee74	control	cage3	control_cage3	0	four
bee75	control	cage4	control_cage4	1	four
bee76	control	cage4	control_cage4	1	four
bee77	control	cage4	control_cage4	1	four
bee78	control	cage4	control_cage4	1	four
bee79	control	cage4	control_cage4	1	four
bee80	control	cage4	control_cage4	1	four
bee81	control	cage4	control_cage4	1	four
bee81	control	cage4	control_cage4	1	four
bee86	control	cage4	control_cage4	1	four
bee87	control	cage4	control_cage4	1	four
bee88	control	cage4	control_cage4	1	four
bee89	control	cage4	control_cage4	1	four
bee90	control	cage4	control_cage4	1	four
bee91	control	cage4	control_cage4	0	four
bee92	control	cage4	control_cage4	0	four
bee93	control	cage4	control_cage4	0	four
bee94	control	cage4	control_cage4	0	four
bee96	control	cage4	control_cage4	0	four
bee97	control	cage4	control_cage4	0	four
bee98	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	four
bee99	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	four
bee100	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	four
bee101	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	four
bee102	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	four
bee103	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	four
bee104	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	four
bee105	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	four
bee106	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	four
bee112	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	four
bee113	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	four
bee114	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	four
bee115	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	four
bee116	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	four
bee117	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	1	four
bee118	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	four
bee118	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	four
bee119	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	four
bee120	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	four
bee121	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	four
bee125	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	four
bee126	added_Chlorothalonil	cage1	added_Chlorothalonil_cage1	0	four
bee127	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1	four
bee128	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1	four
bee131	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1	four
bee132	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1	four
bee133	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1	four
bee134	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1	four
bee135	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1	four
bee136	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1	four
bee137	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1	four
