SampleID	sample	run	treatment	treatment2	sample_type	cage	treatment_cage	date	cycle	treatment_cage	treatment_cycle	treatment_cycle2
X22.Ch1.2	X22.Ch1.2	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	22_3	cycle_three_after_stress	Chlorothalonil_cage_1	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
X22.Ch1.3	X22.Ch1.3	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	22_3	cycle_three_after_stress	Chlorothalonil_cage_1	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
X22.Ch2.1	X22.Ch2.1	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	22_3	cycle_three_after_stress	Chlorothalonil_cage_2	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
X22.Ch2.2	X22.Ch2.2	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	22_3	cycle_three_after_stress	Chlorothalonil_cage_2	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
X22.Ch2.3	X22.Ch2.3	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	22_3	cycle_three_after_stress	Chlorothalonil_cage_2	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
X22.Ch3.3	X22.Ch3.3	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	22_3	cycle_three_after_stress	Chlorothalonil_cage_3	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
X22.Ch3.5	X22.Ch3.5	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	22_3	cycle_three_after_stress	Chlorothalonil_cage_3	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
X22.Ch3.6	X22.Ch3.6	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	22_3	cycle_three_after_stress	Chlorothalonil_cage_3	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
X28.2.SP	X28.2.SP	run_one	start_microbiome	start_microbiome	start_microbiome	start_microbiome	start_microbiome	28_2	start_microbiome	start_microbiome_start_microbiome	start_microbiome	start_microbiome
NB.1	NB.1	run_one	hive_bee	hive_bee	single_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee_hive_bee	hive_bee	hive_bee
NB.2	NB.2	run_two	hive_bee	hive_bee	single_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee_hive_bee	hive_bee	hive_bee
NB.4	NB.4	run_two	hive_bee	hive_bee	single_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee_hive_bee	hive_bee	hive_bee
NB.6	NB.6	run_two	hive_bee	hive_bee	single_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee_hive_bee	hive_bee	hive_bee
NB.8	NB.8	run_one	hive_bee	hive_bee	single_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee_hive_bee	hive_bee	hive_bee
NB.9	NB.9	run_two	hive_bee	hive_bee	single_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee_hive_bee	hive_bee	hive_bee
PC.1	PC.1	run_one	Mock	Mock	Mock	Mock	Mock	Mock	Mock	Mock	Mock	Mock
PC.2	PC.2	run_two	Mock	Mock	Mock	Mock	Mock	Mock	Mock	Mock	Mock	Mock
